top,acc,algorithm,subject
0.2,0.619,PageRank,0
0.3,0.645,PageRank,0
0.4,0.524,PageRank,0
0.5,0.472,PageRank,0
0.6,0.429,PageRank,0
0.7,0.365,PageRank,0
0.8,0.321,PageRank,0
0.9,0.326,PageRank,0
1.0,0.292,PageRank,0
1.1,0.276,PageRank,0
1.2,0.252,PageRank,0
1.3,0.241,PageRank,0
1.4,0.23,PageRank,0
1.5,0.225,PageRank,0
0.2,0.625,PageRank,0
0.3,0.625,PageRank,0
0.4,0.625,PageRank,0
0.5,0.55,PageRank,0
0.6,0.542,PageRank,0
0.7,0.5,PageRank,0
0.8,0.484,PageRank,0
0.9,0.431,PageRank,0
1.0,0.407,PageRank,0
1.1,0.371,PageRank,0
1.2,0.351,PageRank,0
1.3,0.324,PageRank,0
1.4,0.312,PageRank,0
1.5,0.312,PageRank,0
0.2,0.643,PageRank,0
0.3,0.667,PageRank,0
0.4,0.586,PageRank,0
0.5,0.5,PageRank,0
0.6,0.488,PageRank,0
0.7,0.471,PageRank,0
0.8,0.431,PageRank,0
0.9,0.431,PageRank,0
1.0,0.384,PageRank,0
1.1,0.377,PageRank,0
1.2,0.377,PageRank,0
1.3,0.377,PageRank,0
1.4,0.377,PageRank,0
1.5,0.377,PageRank,0
0.2,0.308,PageRank,0
0.3,0.25,PageRank,0
0.4,0.226,PageRank,0
0.5,0.194,PageRank,0
0.6,0.163,PageRank,0
0.7,0.161,PageRank,0
0.8,0.159,PageRank,0
0.9,0.158,PageRank,0
1.0,0.149,PageRank,0
1.1,0.136,PageRank,0
1.2,0.138,PageRank,0
1.3,0.126,PageRank,0
1.4,0.124,PageRank,0
1.5,0.124,PageRank,0
0.2,0.083,PageRank,0
0.3,0.054,PageRank,0
0.4,0.041,PageRank,0
0.5,0.065,PageRank,0
0.6,0.054,PageRank,0
0.7,0.048,PageRank,0
0.8,0.048,PageRank,0
0.9,0.048,PageRank,0
1.0,0.048,PageRank,0
1.1,0.048,PageRank,0
1.2,0.048,PageRank,0
1.3,0.048,PageRank,0
1.4,0.048,PageRank,0
1.5,0.048,PageRank,0
0.2,0.538,PageRank,0
0.3,0.55,PageRank,0
0.4,0.444,PageRank,0
0.5,0.382,PageRank,0
0.6,0.366,PageRank,0
0.7,0.354,PageRank,0
0.8,0.309,PageRank,0
0.9,0.274,PageRank,0
1.0,0.254,PageRank,0
1.1,0.254,PageRank,0
1.2,0.254,PageRank,0
1.3,0.254,PageRank,0
1.4,0.254,PageRank,0
1.5,0.254,PageRank,0
0.2,0.192,PageRank,0
0.3,0.179,PageRank,0
0.4,0.192,PageRank,0
0.5,0.169,PageRank,0
0.6,0.154,PageRank,0
0.7,0.165,PageRank,0
0.8,0.16,PageRank,0
0.9,0.16,PageRank,0
1.0,0.16,PageRank,0
1.1,0.16,PageRank,0
1.2,0.16,PageRank,0
1.3,0.16,PageRank,0
1.4,0.16,PageRank,0
1.5,0.16,PageRank,0
0.2,0.786,PageRank,0
0.3,0.762,PageRank,0
0.4,0.737,PageRank,0
0.5,0.662,PageRank,0
0.6,0.612,PageRank,0
0.7,0.53,PageRank,0
0.8,0.465,PageRank,0
0.9,0.43,PageRank,0
1.0,0.392,PageRank,0
1.1,0.363,PageRank,0
1.2,0.356,PageRank,0
1.3,0.356,PageRank,0
1.4,0.356,PageRank,0
1.5,0.356,PageRank,0
0.2,0.143,PageRank,0
0.3,0.143,PageRank,0
0.4,0.107,PageRank,0
0.5,0.1,PageRank,0
0.6,0.083,PageRank,0
0.7,0.082,PageRank,0
0.8,0.077,PageRank,0
0.9,0.077,PageRank,0
1.0,0.077,PageRank,0
1.1,0.077,PageRank,0
1.2,0.077,PageRank,0
1.3,0.077,PageRank,0
1.4,0.077,PageRank,0
1.5,0.077,PageRank,0
0.2,0.174,PageRank,0
0.3,0.143,PageRank,0
0.4,0.106,PageRank,0
0.5,0.085,PageRank,0
0.6,0.07,PageRank,0
0.7,0.072,PageRank,0
0.8,0.084,PageRank,0
0.9,0.103,PageRank,0
1.0,0.101,PageRank,0
1.1,0.092,PageRank,0
1.2,0.092,PageRank,0
1.3,0.092,PageRank,0
1.4,0.092,PageRank,0
1.5,0.092,PageRank,0
0.2,0.143,PageRank,0
0.3,0.19,PageRank,0
0.4,0.172,PageRank,0
0.5,0.194,PageRank,0
0.6,0.186,PageRank,0
0.7,0.157,PageRank,0
0.8,0.155,PageRank,0
0.9,0.138,PageRank,0
1.0,0.137,PageRank,0
1.1,0.125,PageRank,0
1.2,0.126,PageRank,0
1.3,0.125,PageRank,0
1.4,0.125,PageRank,0
1.5,0.125,PageRank,0
0.2,0.12,PageRank,0
0.3,0.132,PageRank,0
0.4,0.1,PageRank,0
0.5,0.111,PageRank,0
0.6,0.118,PageRank,0
0.7,0.114,PageRank,0
0.8,0.099,PageRank,0
0.9,0.088,PageRank,0
1.0,0.094,PageRank,0
1.1,0.094,PageRank,0
1.2,0.094,PageRank,0
1.3,0.094,PageRank,0
1.4,0.094,PageRank,0
1.5,0.094,PageRank,0
0.2,0.727,PageRank,0
0.3,0.588,PageRank,0
0.4,0.478,PageRank,0
0.5,0.414,PageRank,0
0.6,0.353,PageRank,0
0.7,0.3,PageRank,0
0.8,0.261,PageRank,0
0.9,0.231,PageRank,0
1.0,0.231,PageRank,0
1.1,0.231,PageRank,0
1.2,0.231,PageRank,0
1.3,0.231,PageRank,0
1.4,0.231,PageRank,0
1.5,0.231,PageRank,0
0.2,0.68,PageRank,0
0.3,0.514,PageRank,0
0.4,0.4,PageRank,0
0.5,0.403,PageRank,0
0.6,0.387,PageRank,0
0.7,0.345,PageRank,0
0.8,0.337,PageRank,0
0.9,0.337,PageRank,0
1.0,0.337,PageRank,0
1.1,0.337,PageRank,0
1.2,0.337,PageRank,0
1.3,0.337,PageRank,0
1.4,0.337,PageRank,0
1.5,0.337,PageRank,0
0.2,0.5,PageRank,0
0.3,0.514,PageRank,0
0.4,0.49,PageRank,0
0.5,0.468,PageRank,0
0.6,0.446,PageRank,0
0.7,0.43,PageRank,0
0.8,0.424,PageRank,0
0.9,0.405,PageRank,0
1.0,0.379,PageRank,0
1.1,0.353,PageRank,0
1.2,0.351,PageRank,0
1.3,0.342,PageRank,0
1.4,0.324,PageRank,0
1.5,0.318,PageRank,0
0.2,0.842,PageRank,0
0.3,0.862,PageRank,0
0.4,0.789,PageRank,0
0.5,0.729,PageRank,0
0.6,0.69,PageRank,0
0.7,0.642,PageRank,0
0.8,0.61,PageRank,0
0.9,0.552,PageRank,0
1.0,0.538,PageRank,0
1.1,0.538,PageRank,0
1.2,0.538,PageRank,0
1.3,0.538,PageRank,0
1.4,0.538,PageRank,0
1.5,0.538,PageRank,0
0.2,0.318,PageRank,0
0.3,0.303,PageRank,0
0.4,0.273,PageRank,0
0.5,0.273,PageRank,0
0.6,0.242,PageRank,0
0.7,0.221,PageRank,0
0.8,0.216,PageRank,0
0.9,0.202,PageRank,0
1.0,0.18,PageRank,0
1.1,0.168,PageRank,0
1.2,0.168,PageRank,0
1.3,0.168,PageRank,0
1.4,0.168,PageRank,0
1.5,0.168,PageRank,0
0.2,0.609,PageRank,0
0.3,0.571,PageRank,0
0.4,0.489,PageRank,0
0.5,0.441,PageRank,0
0.6,0.38,PageRank,0
0.7,0.337,PageRank,0
0.8,0.316,PageRank,0
0.9,0.29,PageRank,0
1.0,0.269,PageRank,0
1.1,0.269,PageRank,0
1.2,0.261,PageRank,0
1.3,0.261,PageRank,0
1.4,0.261,PageRank,0
1.5,0.261,PageRank,0
0.2,0.462,PageRank,0
0.3,0.436,PageRank,0
0.4,0.481,PageRank,0
0.5,0.431,PageRank,0
0.6,0.423,PageRank,0
0.7,0.363,PageRank,0
0.8,0.356,PageRank,0
0.9,0.35,PageRank,0
1.0,0.351,PageRank,0
1.1,0.34,PageRank,0
1.2,0.344,PageRank,0
1.3,0.335,PageRank,0
1.4,0.322,PageRank,0
1.5,0.306,PageRank,0
0.2,0.143,PageRank,0
0.3,0.093,PageRank,0
0.4,0.088,PageRank,0
0.5,0.069,PageRank,0
0.6,0.058,PageRank,0
0.7,0.05,PageRank,0
0.8,0.052,PageRank,0
0.9,0.054,PageRank,0
1.0,0.053,PageRank,0
1.1,0.053,PageRank,0
1.2,0.053,PageRank,0
1.3,0.053,PageRank,0
1.4,0.053,PageRank,0
1.5,0.053,PageRank,0
0.2,0.182,PageRank,0
0.3,0.121,PageRank,0
0.4,0.136,PageRank,0
0.5,0.145,PageRank,0
0.6,0.167,PageRank,0
0.7,0.143,PageRank,0
0.8,0.136,PageRank,0
0.9,0.131,PageRank,0
1.0,0.125,PageRank,0
1.1,0.125,PageRank,0
1.2,0.125,PageRank,0
1.3,0.125,PageRank,0
1.4,0.125,PageRank,0
1.5,0.125,PageRank,0
0.2,0.48,PageRank,0
0.3,0.526,PageRank,0
0.4,0.412,PageRank,0
0.5,0.344,PageRank,0
0.6,0.303,PageRank,0
0.7,0.27,PageRank,0
0.8,0.235,PageRank,0
0.9,0.238,PageRank,0
1.0,0.238,PageRank,0
1.1,0.238,PageRank,0
1.2,0.238,PageRank,0
1.3,0.238,PageRank,0
1.4,0.238,PageRank,0
1.5,0.238,PageRank,0
0.2,0.24,PageRank,0
0.3,0.211,PageRank,0
0.4,0.18,PageRank,0
0.5,0.143,PageRank,0
0.6,0.132,PageRank,0
0.7,0.125,PageRank,0
0.8,0.119,PageRank,0
0.9,0.105,PageRank,0
1.0,0.094,PageRank,0
1.1,0.087,PageRank,0
1.2,0.087,PageRank,0
1.3,0.087,PageRank,0
1.4,0.087,PageRank,0
1.5,0.087,PageRank,0
0.2,0.269,PageRank,0
0.3,0.231,PageRank,0
0.4,0.173,PageRank,0
0.5,0.185,PageRank,0
0.6,0.244,PageRank,0
0.7,0.264,PageRank,0
0.8,0.269,PageRank,0
0.9,0.248,PageRank,0
1.0,0.244,PageRank,0
1.1,0.235,PageRank,0
1.2,0.235,PageRank,0
1.3,0.235,PageRank,0
1.4,0.235,PageRank,0
1.5,0.235,PageRank,0
0.2,0.385,PageRank,0
0.3,0.25,PageRank,0
0.4,0.259,PageRank,0
0.5,0.206,PageRank,0
0.6,0.2,PageRank,0
0.7,0.191,PageRank,0
0.8,0.167,PageRank,0
0.9,0.148,PageRank,0
1.0,0.147,PageRank,0
1.1,0.135,PageRank,0
1.2,0.13,PageRank,0
1.3,0.13,PageRank,0
1.4,0.13,PageRank,0
1.5,0.13,PageRank,0
0.2,0.0,PageRank,0
0.3,0.0,PageRank,0
0.4,0.0,PageRank,0
0.5,0.0,PageRank,0
0.6,0.0,PageRank,0
0.7,0.0,PageRank,0
0.8,0.0,PageRank,0
0.9,0.0,PageRank,0
1.0,0.0,PageRank,0
1.1,0.0,PageRank,0
1.2,0.0,PageRank,0
1.3,0.0,PageRank,0
1.4,0.0,PageRank,0
1.5,0.0,PageRank,0
0.2,0.421,PageRank,0
0.3,0.414,PageRank,0
0.4,0.359,PageRank,0
0.5,0.306,PageRank,0
0.6,0.259,PageRank,0
0.7,0.221,PageRank,0
0.8,0.205,PageRank,0
0.9,0.193,PageRank,0
1.0,0.184,PageRank,0
1.1,0.178,PageRank,0
1.2,0.171,PageRank,0
1.3,0.165,PageRank,0
1.4,0.163,PageRank,0
1.5,0.163,PageRank,0
0.2,0.909,PageRank,0
0.3,0.909,PageRank,0
0.4,0.911,PageRank,0
0.5,0.875,PageRank,0
0.6,0.851,PageRank,0
0.7,0.823,PageRank,0
0.8,0.844,PageRank,0
0.9,0.812,PageRank,0
1.0,0.779,PageRank,0
1.1,0.766,PageRank,0
1.2,0.748,PageRank,0
1.3,0.719,PageRank,0
1.4,0.684,PageRank,0
1.5,0.657,PageRank,0
0.2,0.1,PageRank,0
0.3,0.067,PageRank,0
0.4,0.075,PageRank,0
0.5,0.06,PageRank,0
0.6,0.05,PageRank,0
0.7,0.057,PageRank,0
0.8,0.05,PageRank,0
0.9,0.044,PageRank,0
1.0,0.04,PageRank,0
1.1,0.036,PageRank,0
1.2,0.041,PageRank,0
1.3,0.039,PageRank,0
1.4,0.039,PageRank,0
1.5,0.039,PageRank,0
0.2,0.941,PageRank,0
0.3,0.808,PageRank,0
0.4,0.676,PageRank,0
0.5,0.628,PageRank,0
0.6,0.577,PageRank,0
0.7,0.517,PageRank,0
0.8,0.449,PageRank,0
0.9,0.397,PageRank,0
1.0,0.368,PageRank,0
1.1,0.347,PageRank,0
1.2,0.344,PageRank,0
1.3,0.344,PageRank,0
1.4,0.344,PageRank,0
1.5,0.344,PageRank,0
0.2,0.737,PageRank,0
0.3,0.586,PageRank,0
0.4,0.59,PageRank,0
0.5,0.571,PageRank,0
0.6,0.542,PageRank,0
0.7,0.478,PageRank,0
0.8,0.43,PageRank,0
0.9,0.416,PageRank,0
1.0,0.384,PageRank,0
1.1,0.361,PageRank,0
1.2,0.347,PageRank,0
1.3,0.325,PageRank,0
1.4,0.325,PageRank,0
1.5,0.325,PageRank,0
0.2,0.85,PageRank,0
0.3,0.8,PageRank,0
0.4,0.85,PageRank,0
0.5,0.765,PageRank,0
0.6,0.721,PageRank,0
0.7,0.662,PageRank,0
0.8,0.63,PageRank,0
0.9,0.604,PageRank,0
1.0,0.559,PageRank,0
1.1,0.536,PageRank,0
1.2,0.516,PageRank,0
1.3,0.515,PageRank,0
1.4,0.507,PageRank,0
1.5,0.471,PageRank,0
0.2,0.174,PageRank,0
0.3,0.2,PageRank,0
0.4,0.17,PageRank,0
0.5,0.153,PageRank,0
0.6,0.141,PageRank,0
0.7,0.12,PageRank,0
0.8,0.105,PageRank,0
0.9,0.112,PageRank,0
1.0,0.109,PageRank,0
1.1,0.1,PageRank,0
1.2,0.1,PageRank,0
1.3,0.1,PageRank,0
1.4,0.1,PageRank,0
1.5,0.1,PageRank,0
0.2,0.818,PageRank,0
0.3,0.788,PageRank,0
0.4,0.75,PageRank,0
0.5,0.679,PageRank,0
0.6,0.672,PageRank,0
0.7,0.679,PageRank,0
0.8,0.663,PageRank,0
0.9,0.62,PageRank,0
1.0,0.589,PageRank,0
1.1,0.553,PageRank,0
1.2,0.53,PageRank,0
1.3,0.517,PageRank,0
1.4,0.506,PageRank,0
1.5,0.491,PageRank,0
0.2,0.476,PageRank,0
0.3,0.419,PageRank,0
0.4,0.31,PageRank,0
0.5,0.245,PageRank,0
0.6,0.206,PageRank,0
0.7,0.176,PageRank,0
0.8,0.155,PageRank,0
0.9,0.153,PageRank,0
1.0,0.153,PageRank,0
1.1,0.153,PageRank,0
1.2,0.153,PageRank,0
1.3,0.153,PageRank,0
1.4,0.153,PageRank,0
1.5,0.153,PageRank,0
0.2,0.24,PageRank,0
0.3,0.211,PageRank,0
0.4,0.18,PageRank,0
0.5,0.143,PageRank,0
0.6,0.118,PageRank,0
0.7,0.125,PageRank,0
0.8,0.129,PageRank,0
0.9,0.114,PageRank,0
1.0,0.11,PageRank,0
1.1,0.113,PageRank,0
1.2,0.113,PageRank,0
1.3,0.113,PageRank,0
1.4,0.113,PageRank,0
1.5,0.113,PageRank,0
0.2,0.167,PageRank,0
0.3,0.185,PageRank,0
0.4,0.162,PageRank,0
0.5,0.152,PageRank,0
0.6,0.145,PageRank,0
0.7,0.154,PageRank,0
0.8,0.149,PageRank,0
0.9,0.143,PageRank,0
1.0,0.143,PageRank,0
1.1,0.143,PageRank,0
1.2,0.143,PageRank,0
1.3,0.143,PageRank,0
1.4,0.143,PageRank,0
1.5,0.143,PageRank,0
0.2,0.526,PageRank,0
0.3,0.552,PageRank,0
0.4,0.421,PageRank,0
0.5,0.354,PageRank,0
0.6,0.31,PageRank,0
0.7,0.269,PageRank,0
0.8,0.26,PageRank,0
0.9,0.23,PageRank,0
1.0,0.206,PageRank,0
1.1,0.189,PageRank,0
1.2,0.183,PageRank,0
1.3,0.183,PageRank,0
1.4,0.183,PageRank,0
1.5,0.183,PageRank,0
0.2,0.682,PageRank,0
0.3,0.636,PageRank,0
0.4,0.568,PageRank,0
0.5,0.545,PageRank,0
0.6,0.485,PageRank,0
0.7,0.481,PageRank,0
0.8,0.455,PageRank,0
0.9,0.434,PageRank,0
1.0,0.436,PageRank,0
1.1,0.421,PageRank,0
1.2,0.417,PageRank,0
1.3,0.406,PageRank,0
1.4,0.384,PageRank,0
1.5,0.384,PageRank,0
0.2,0.133,PageRank,0
0.3,0.13,PageRank,0
0.4,0.129,PageRank,0
0.5,0.103,PageRank,0
0.6,0.085,PageRank,0
0.7,0.091,PageRank,0
0.8,0.095,PageRank,0
0.9,0.099,PageRank,0
1.0,0.101,PageRank,0
1.1,0.105,PageRank,0
1.2,0.117,PageRank,0
1.3,0.109,PageRank,0
1.4,0.109,PageRank,0
1.5,0.109,PageRank,0
0.2,0.643,PageRank,0
0.3,0.524,PageRank,0
0.4,0.517,PageRank,0
0.5,0.444,PageRank,0
0.6,0.372,PageRank,0
0.7,0.333,PageRank,0
0.8,0.328,PageRank,0
0.9,0.308,PageRank,0
1.0,0.288,PageRank,0
1.1,0.291,PageRank,0
1.2,0.291,PageRank,0
1.3,0.291,PageRank,0
1.4,0.291,PageRank,0
1.5,0.291,PageRank,0
0.2,0.563,PageRank,0
0.3,0.5,PageRank,0
0.4,0.438,PageRank,0
0.5,0.39,PageRank,0
0.6,0.347,PageRank,0
0.7,0.316,PageRank,0
0.8,0.308,PageRank,0
0.9,0.288,PageRank,0
1.0,0.256,PageRank,0
1.1,0.233,PageRank,0
1.2,0.214,PageRank,0
1.3,0.208,PageRank,0
1.4,0.208,PageRank,0
1.5,0.208,PageRank,0
0.2,0.684,PageRank,0
0.3,0.586,PageRank,0
0.4,0.436,PageRank,0
0.5,0.347,PageRank,0
0.6,0.31,PageRank,0
0.7,0.279,PageRank,0
0.8,0.282,PageRank,0
0.9,0.25,PageRank,0
1.0,0.24,PageRank,0
1.1,0.24,PageRank,0
1.2,0.24,PageRank,0
1.3,0.24,PageRank,0
1.4,0.24,PageRank,0
1.5,0.24,PageRank,0
0.2,0.867,PageRank,0
0.3,0.727,PageRank,0
0.4,0.733,PageRank,0
0.5,0.649,PageRank,0
0.6,0.6,PageRank,0
0.7,0.558,PageRank,0
0.8,0.517,PageRank,0
0.9,0.478,PageRank,0
1.0,0.427,PageRank,0
1.1,0.402,PageRank,0
1.2,0.378,PageRank,0
1.3,0.351,PageRank,0
1.4,0.351,PageRank,0
1.5,0.351,PageRank,0
0.2,0.636,PageRank,0
0.3,0.606,PageRank,0
0.4,0.556,PageRank,0
0.5,0.482,PageRank,0
0.6,0.403,PageRank,0
0.7,0.354,PageRank,0
0.8,0.333,PageRank,0
0.9,0.326,PageRank,0
1.0,0.326,PageRank,0
1.1,0.326,PageRank,0
1.2,0.326,PageRank,0
1.3,0.326,PageRank,0
1.4,0.326,PageRank,0
1.5,0.326,PageRank,0
0.2,0.692,PageRank,0
0.3,0.487,PageRank,0
0.4,0.423,PageRank,0
0.5,0.364,PageRank,0
0.6,0.329,PageRank,0
0.7,0.329,PageRank,0
0.8,0.329,PageRank,0
0.9,0.329,PageRank,0
1.0,0.329,PageRank,0
1.1,0.329,PageRank,0
1.2,0.329,PageRank,0
1.3,0.329,PageRank,0
1.4,0.329,PageRank,0
1.5,0.329,PageRank,0
0.2,0.25,PageRank,0
0.3,0.278,PageRank,0
0.4,0.271,PageRank,0
0.5,0.25,PageRank,0
0.6,0.25,PageRank,0
0.7,0.274,PageRank,0
0.8,0.26,PageRank,0
0.9,0.231,PageRank,0
1.0,0.215,PageRank,0
1.1,0.208,PageRank,0
1.2,0.208,PageRank,0
1.3,0.208,PageRank,0
1.4,0.208,PageRank,0
1.5,0.208,PageRank,0
0.2,0.773,PageRank,0
0.3,0.735,PageRank,0
0.4,0.667,PageRank,0
0.5,0.544,PageRank,0
0.6,0.515,PageRank,0
0.7,0.506,PageRank,0
0.8,0.473,PageRank,0
0.9,0.422,PageRank,0
1.0,0.395,PageRank,0
1.1,0.368,PageRank,0
1.2,0.346,PageRank,0
1.3,0.324,PageRank,0
1.4,0.304,PageRank,0
1.5,0.304,PageRank,0
0.2,0.375,PageRank,0
0.3,0.375,PageRank,0
0.4,0.394,PageRank,0
0.5,0.366,PageRank,0
0.6,0.347,PageRank,0
0.7,0.293,PageRank,0
0.8,0.288,PageRank,0
0.9,0.257,PageRank,0
1.0,0.241,PageRank,0
1.1,0.242,PageRank,0
1.2,0.234,PageRank,0
1.3,0.234,PageRank,0
1.4,0.234,PageRank,0
1.5,0.234,PageRank,0
0.2,0.105,PageRank,0
0.3,0.107,PageRank,0
0.4,0.158,PageRank,0
0.5,0.188,PageRank,0
0.6,0.175,PageRank,0
0.7,0.149,PageRank,0
0.8,0.145,PageRank,0
0.9,0.14,PageRank,0
1.0,0.135,PageRank,0
1.1,0.124,PageRank,0
1.2,0.13,PageRank,0
1.3,0.124,PageRank,0
1.4,0.124,PageRank,0
1.5,0.124,PageRank,0
0.2,0.2,PageRank,0
0.3,0.132,PageRank,0
0.4,0.12,PageRank,0
0.5,0.095,PageRank,0
0.6,0.092,PageRank,0
0.7,0.091,PageRank,0
0.8,0.079,PageRank,0
0.9,0.079,PageRank,0
1.0,0.079,PageRank,0
1.1,0.076,PageRank,0
1.2,0.076,PageRank,0
1.3,0.076,PageRank,0
1.4,0.076,PageRank,0
1.5,0.076,PageRank,0
0.2,0.412,PageRank,0
0.3,0.423,PageRank,0
0.4,0.382,PageRank,0
0.5,0.326,PageRank,0
0.6,0.269,PageRank,0
0.7,0.233,PageRank,0
0.8,0.203,PageRank,0
0.9,0.179,PageRank,0
1.0,0.161,PageRank,0
1.1,0.152,PageRank,0
1.2,0.152,PageRank,0
1.3,0.152,PageRank,0
1.4,0.152,PageRank,0
1.5,0.152,PageRank,0
0.2,0.619,PageRank,0
0.3,0.406,PageRank,0
0.4,0.333,PageRank,0
0.5,0.264,PageRank,0
0.6,0.219,PageRank,0
0.7,0.189,PageRank,0
0.8,0.176,PageRank,0
0.9,0.168,PageRank,0
1.0,0.168,PageRank,0
1.1,0.168,PageRank,0
1.2,0.168,PageRank,0
1.3,0.168,PageRank,0
1.4,0.168,PageRank,0
1.5,0.168,PageRank,0
0.2,0.789,PageRank,0
0.3,0.75,PageRank,0
0.4,0.711,PageRank,0
0.5,0.688,PageRank,0
0.6,0.632,PageRank,0
0.7,0.567,PageRank,0
0.8,0.526,PageRank,0
0.9,0.512,PageRank,0
1.0,0.49,PageRank,0
1.1,0.457,PageRank,0
1.2,0.426,PageRank,0
1.3,0.403,PageRank,0
1.4,0.373,PageRank,0
1.5,0.362,PageRank,0
0.2,0.813,PageRank,0
0.3,0.792,PageRank,0
0.4,0.625,PageRank,0
0.5,0.525,PageRank,0
0.6,0.479,PageRank,0
0.7,0.446,PageRank,0
0.8,0.391,PageRank,0
0.9,0.347,PageRank,0
1.0,0.321,PageRank,0
1.1,0.292,PageRank,0
1.2,0.292,PageRank,0
1.3,0.292,PageRank,0
1.4,0.292,PageRank,0
1.5,0.292,PageRank,0
0.2,0.316,PageRank,0
0.3,0.214,PageRank,0
0.4,0.184,PageRank,0
0.5,0.146,PageRank,0
0.6,0.123,PageRank,0
0.7,0.149,PageRank,0
0.8,0.135,PageRank,0
0.9,0.135,PageRank,0
1.0,0.135,PageRank,0
1.1,0.135,PageRank,0
1.2,0.135,PageRank,0
1.3,0.135,PageRank,0
1.4,0.135,PageRank,0
1.5,0.135,PageRank,0
0.2,0.846,PageRank,0
0.3,0.737,PageRank,0
0.4,0.731,PageRank,0
0.5,0.594,PageRank,0
0.6,0.513,PageRank,0
0.7,0.467,PageRank,0
0.8,0.423,PageRank,0
0.9,0.379,PageRank,0
1.0,0.354,PageRank,0
1.1,0.329,PageRank,0
1.2,0.329,PageRank,0
1.3,0.329,PageRank,0
1.4,0.329,PageRank,0
1.5,0.329,PageRank,0
0.2,0.048,PageRank,0
0.3,0.097,PageRank,0
0.4,0.143,PageRank,0
0.5,0.132,PageRank,0
0.6,0.111,PageRank,0
0.7,0.116,PageRank,0
0.8,0.116,PageRank,0
0.9,0.116,PageRank,0
1.0,0.116,PageRank,0
1.1,0.116,PageRank,0
1.2,0.116,PageRank,0
1.3,0.116,PageRank,0
1.4,0.116,PageRank,0
1.5,0.116,PageRank,0
0.2,0.667,PageRank,0
0.3,0.5,PageRank,0
0.4,0.438,PageRank,0
0.5,0.361,PageRank,0
0.6,0.356,PageRank,0
0.7,0.329,PageRank,0
0.8,0.299,PageRank,0
0.9,0.275,PageRank,0
1.0,0.261,PageRank,0
1.1,0.261,PageRank,0
1.2,0.261,PageRank,0
1.3,0.261,PageRank,0
1.4,0.261,PageRank,0
1.5,0.261,PageRank,0
0.2,0.158,PageRank,0
0.3,0.172,PageRank,0
0.4,0.179,PageRank,0
0.5,0.204,PageRank,0
0.6,0.22,PageRank,0
0.7,0.197,PageRank,0
0.8,0.197,PageRank,0
0.9,0.197,PageRank,0
1.0,0.197,PageRank,0
1.1,0.197,PageRank,0
1.2,0.197,PageRank,0
1.3,0.197,PageRank,0
1.4,0.197,PageRank,0
1.5,0.197,PageRank,0
0.2,0.857,PageRank,0
0.3,0.906,PageRank,0
0.4,0.881,PageRank,0
0.5,0.849,PageRank,0
0.6,0.813,PageRank,0
0.7,0.77,PageRank,0
0.8,0.741,PageRank,0
0.9,0.729,PageRank,0
1.0,0.738,PageRank,0
1.1,0.735,PageRank,0
1.2,0.711,PageRank,0
1.3,0.669,PageRank,0
1.4,0.644,PageRank,0
1.5,0.6,PageRank,0
0.2,0.783,PageRank,0
0.3,0.629,PageRank,0
0.4,0.617,PageRank,0
0.5,0.559,PageRank,0
0.6,0.514,PageRank,0
0.7,0.439,PageRank,0
0.8,0.394,PageRank,0
0.9,0.396,PageRank,0
1.0,0.356,PageRank,0
1.1,0.326,PageRank,0
1.2,0.323,PageRank,0
1.3,0.323,PageRank,0
1.4,0.323,PageRank,0
1.5,0.323,PageRank,0
0.2,0.458,PageRank,0
0.3,0.389,PageRank,0
0.4,0.396,PageRank,0
0.5,0.344,PageRank,0
0.6,0.301,PageRank,0
0.7,0.271,PageRank,0
0.8,0.268,PageRank,0
0.9,0.239,PageRank,0
1.0,0.23,PageRank,0
1.1,0.209,PageRank,0
1.2,0.192,PageRank,0
1.3,0.177,PageRank,0
1.4,0.171,PageRank,0
1.5,0.171,PageRank,0
0.2,0.538,PageRank,0
0.3,0.487,PageRank,0
0.4,0.434,PageRank,0
0.5,0.394,PageRank,0
0.6,0.367,PageRank,0
0.7,0.323,PageRank,0
0.8,0.292,PageRank,0
0.9,0.284,PageRank,0
1.0,0.284,PageRank,0
1.1,0.284,PageRank,0
1.2,0.284,PageRank,0
1.3,0.284,PageRank,0
1.4,0.284,PageRank,0
1.5,0.284,PageRank,0
0.2,0.783,PageRank,0
0.3,0.829,PageRank,0
0.4,0.787,PageRank,0
0.5,0.746,PageRank,0
0.6,0.671,PageRank,0
0.7,0.683,PageRank,0
0.8,0.638,PageRank,0
0.9,0.613,PageRank,0
1.0,0.602,PageRank,0
1.1,0.581,PageRank,0
1.2,0.56,PageRank,0
1.3,0.536,PageRank,0
1.4,0.515,PageRank,0
1.5,0.509,PageRank,0
0.2,0.824,PageRank,0
0.3,0.769,PageRank,0
0.4,0.657,PageRank,0
0.5,0.636,PageRank,0
0.6,0.585,PageRank,0
0.7,0.581,PageRank,0
0.8,0.535,PageRank,0
0.9,0.512,PageRank,0
1.0,0.472,PageRank,0
1.1,0.433,PageRank,0
1.2,0.406,PageRank,0
1.3,0.4,PageRank,0
1.4,0.387,PageRank,0
1.5,0.381,PageRank,0
0.2,0.667,PageRank,0
0.3,0.667,PageRank,0
0.4,0.48,PageRank,0
0.5,0.516,PageRank,0
0.6,0.514,PageRank,0
0.7,0.523,PageRank,0
0.8,0.48,PageRank,0
0.9,0.446,PageRank,0
